,Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
822,Normie Cleave,2015-03-20,2022-03-20,March,Friday,31
823,Andris Somerbell,2015-03-27,2022-03-27,March,Friday,31
824,Hedvig Abbot,2014-03-20,2022-03-20,March,Friday,31
825,Chere Vinson,2013-03-04,2022-03-04,March,Friday,31
826,Darrick Shellard,2013-03-27,2022-03-27,March,Friday,31
827,Thorstein Valente,2014-03-11,2022-03-11,March,Friday,31
828,Reggis Ferandez,2014-03-18,2022-03-18,March,Friday,31
829,Merrily Altamirano,2013-03-18,2022-03-18,March,Friday,31
830,Nannie Ferebee,2015-03-11,2022-03-11,March,Friday,31
831,Catrina Hannabuss,2012-03-12,2022-03-12,March,Friday,31
832,Rosaline Youel,2013-03-19,2022-03-19,March,Friday,31
833,Gwen Glowinski,2012-03-04,2022-03-04,March,Friday,31
834,Hope Dommerque,2014-09-13,2022-09-13,September,Tuesday,12
835,Fair Baumber,2011-09-13,2022-09-13,September,Tuesday,12
836,Leshia Sanderson,2013-09-27,2022-09-27,September,Tuesday,12
837,Trace Neenan,2011-09-20,2022-09-20,September,Tuesday,12
838,Laural Hexum,2012-09-06,2022-09-06,September,Tuesday,12
839,Jany Batcock,2012-09-13,2022-09-13,September,Tuesday,12
840,Stacee Martine,2013-09-06,2022-09-06,September,Tuesday,12
841,Cassie Margaritelli,2011-09-20,2022-09-20,September,Tuesday,12
842,Lina Jedrzejczyk,2014-09-13,2022-09-13,September,Tuesday,12
843,Samara McCuaig,2012-09-06,2022-09-06,September,Tuesday,12
844,Mariska Bront,2013-09-20,2022-09-20,September,Tuesday,12
845,Travus Rousby,2011-09-20,2022-09-20,September,Tuesday,12
846,Annalise Roll,2012-07-04,2022-07-04,July,Monday,11
847,Ernesta Siggers,2015-07-04,2022-07-04,July,Monday,11
848,Daniele McCloy,2013-07-11,2022-07-11,July,Monday,11
849,Mildrid Blurton,2013-07-04,2022-07-04,July,Monday,11
850,Andeee Dorrity,2015-07-25,2022-07-25,July,Monday,11
851,Valerie MacDonagh,2014-07-04,2022-07-04,July,Monday,11
852,Norrie Kencott,2012-07-25,2022-07-25,July,Monday,11
853,Franciska Betonia,2012-07-11,2022-07-11,July,Monday,11
854,Agnese Wahlberg,2013-07-18,2022-07-18,July,Monday,11
855,Codi Widger,2014-07-04,2022-07-04,July,Monday,11
856,Felike Whardley,2014-07-18,2022-07-18,July,Monday,11
857,Hayley Rizzini,2014-04-26,2022-04-26,April,Tuesday,4
858,Margi Sentance,2015-04-26,2022-04-26,April,Tuesday,4
859,Hardy Burford,2014-04-05,2022-04-05,April,Tuesday,4
860,Ferd Dey,2015-04-05,2022-04-05,April,Tuesday,4
861,Yancey Bachellier,2015-02-01,2022-02-01,February,Tuesday,13
862,Ronnie Narducci,2015-02-01,2022-02-01,February,Tuesday,13
863,Jacques Cosins,2012-02-01,2022-02-01,February,Tuesday,13
864,Wileen Scamadine,2015-02-15,2022-02-15,February,Tuesday,13
865,Antonie Worcester,2015-02-15,2022-02-15,February,Tuesday,13
866,Adina Gawthorpe,2013-02-15,2022-02-15,February,Tuesday,13
867,Dominga Peat,2014-02-15,2022-02-15,February,Tuesday,13
868,Cam Riccardini,2015-02-01,2022-02-01,February,Tuesday,13
869,Louis Gabbatiss,2012-02-22,2022-02-22,February,Tuesday,13
870,Emmott Gosson,2012-02-01,2022-02-01,February,Tuesday,13
871,Olwen Callicott,2013-02-01,2022-02-01,February,Tuesday,13
872,Clovis Okeshott,2015-02-01,2022-02-01,February,Tuesday,13
873,Ninetta Worling,2015-02-15,2022-02-15,February,Tuesday,13
874,Brantley Thorley,2012-03-02,2022-03-02,March,Wednesday,6
875,Price Harrald,2013-03-30,2022-03-30,March,Wednesday,6
876,Aharon Ricardin,2013-03-02,2022-03-02,March,Wednesday,6
877,Patience Turfin,2012-03-23,2022-03-23,March,Wednesday,6
878,Frieda Peart,2012-03-02,2022-03-02,March,Wednesday,6
879,Jerry Archard,2013-03-09,2022-03-09,March,Wednesday,6
880,Toddie Nanetti,2013-10-04,2022-10-04,October,Tuesday,9
881,Kimbra Whelan,2013-10-25,2022-10-25,October,Tuesday,9
882,Rona Hammill,2011-10-25,2022-10-25,October,Tuesday,9
883,Alf Stiff,2014-10-04,2022-10-04,October,Tuesday,9
884,Drucy Greet,2011-10-18,2022-10-18,October,Tuesday,9
885,Hagan Rawne,2014-10-04,2022-10-04,October,Tuesday,9
886,Kip Bannell,2012-10-18,2022-10-18,October,Tuesday,9
887,Glennis Eastlake,2012-10-25,2022-10-25,October,Tuesday,9
888,Dela Corradeschi,2014-10-04,2022-10-04,October,Tuesday,9
889,Shanie Croisier,2014-02-09,2022-02-09,February,Wednesday,8
890,Lucina Gouley,2014-02-16,2022-02-16,February,Wednesday,8
891,Bondon Antonazzi,2012-02-09,2022-02-09,February,Wednesday,8
892,Estella Brende,2014-02-16,2022-02-16,February,Wednesday,8
893,Stevana Baddiley,2015-02-16,2022-02-16,February,Wednesday,8
894,Maryjo Dewicke,2012-02-09,2022-02-09,February,Wednesday,8
895,Waly Tomet,2014-02-09,2022-02-09,February,Wednesday,8
896,Hannis Loughran,2013-02-02,2022-02-02,February,Wednesday,8
897,Iseabal Aldwinckle,2013-03-08,2022-03-08,March,Tuesday,13
898,Cello Milnes,2013-03-08,2022-03-08,March,Tuesday,13
899,Caleb Kupka,2014-03-15,2022-03-15,March,Tuesday,13
900,Jaimie Bebbell,2013-03-22,2022-03-22,March,Tuesday,13
901,Winny Scoggans,2012-03-29,2022-03-29,March,Tuesday,13
902,Blinny Upwood,2013-03-15,2022-03-15,March,Tuesday,13
903,Cass Seivertsen,2015-03-01,2022-03-01,March,Tuesday,13
904,Sherilyn Jilkes,2012-03-22,2022-03-22,March,Tuesday,13
905,Brig Tremontana,2014-03-01,2022-03-01,March,Tuesday,13
906,Michele Keford,2015-03-15,2022-03-15,March,Tuesday,13
907,Deb Martina,2013-03-22,2022-03-22,March,Tuesday,13
908,Terry Sloey,2013-03-29,2022-03-29,March,Tuesday,13
909,Farra Laidler,2015-03-29,2022-03-29,March,Tuesday,13
910,Iona Ballister,2014-06-20,2022-06-20,June,Monday,9
911,Hi Oleksiak,2013-06-06,2022-06-06,June,Monday,9
912,Karoline Gash,2012-06-06,2022-06-06,June,Monday,9
913,Grace Fernie,2014-06-20,2022-06-20,June,Monday,9
914,De witt Moorton,2014-06-06,2022-06-06,June,Monday,9
915,Tiphany Yepiskov,2015-06-27,2022-06-27,June,Monday,9
916,Janina Goulstone,2012-06-20,2022-06-20,June,Monday,9
917,Laird Dainty,2015-06-27,2022-06-27,June,Monday,9
918,Farra Congreave,2014-06-20,2022-06-20,June,Monday,9
919,Shirline Longstaff,2013-07-13,2022-07-13,July,Wednesday,19
920,Lorraine Halbard,2013-07-20,2022-07-20,July,Wednesday,19
921,Floria Kitlee,2012-07-06,2022-07-06,July,Wednesday,19
922,Osgood Darnborough,2013-07-20,2022-07-20,July,Wednesday,19
923,Alia Whayman,2015-07-06,2022-07-06,July,Wednesday,19
924,Alyson Lindsell,2012-07-06,2022-07-06,July,Wednesday,19
925,Aland Ashlee,2012-07-13,2022-07-13,July,Wednesday,19
926,Shaylah Bottle,2014-07-06,2022-07-06,July,Wednesday,19
927,Jdavie Chard,2013-07-20,2022-07-20,July,Wednesday,19
928,Tammy Elcombe,2013-07-13,2022-07-13,July,Wednesday,19
929,Krystle Davage,2012-07-27,2022-07-27,July,Wednesday,19
930,Esmaria Tawn,2013-07-20,2022-07-20,July,Wednesday,19
931,Miles Pavitt,2015-07-27,2022-07-27,July,Wednesday,19
932,Norris Denness,2014-07-13,2022-07-13,July,Wednesday,19
933,Basia Oswal,2015-07-06,2022-07-06,July,Wednesday,19
934,Carri Livings,2012-07-27,2022-07-27,July,Wednesday,19
935,Bary Amyes,2013-07-20,2022-07-20,July,Wednesday,19
936,Meyer Barca,2014-07-13,2022-07-13,July,Wednesday,19
937,Chrotoem Thominga,2014-07-20,2022-07-20,July,Wednesday,19
938,Glynda O'Corrin,2013-02-14,2022-02-14,February,Monday,12
939,Ericka Ebourne,2012-02-28,2022-02-28,February,Monday,12
940,Shirline Saben,2012-02-07,2022-02-07,February,Monday,12
941,Bobbette Whiteley,2013-02-07,2022-02-07,February,Monday,12
942,Christoforo Gillon,2012-02-14,2022-02-14,February,Monday,12
943,Jorgan Beggan,2015-02-28,2022-02-28,February,Monday,12
944,Maggi Readwood,2014-02-07,2022-02-07,February,Monday,12
945,Ebenezer Tussaine,2015-02-28,2022-02-28,February,Monday,12
946,Fairleigh Janusz,2012-02-28,2022-02-28,February,Monday,12
947,Katlin Bumphrey,2012-02-28,2022-02-28,February,Monday,12
948,Guinna O'Currine,2015-02-07,2022-02-07,February,Monday,12
949,Wakefield Pleaden,2014-02-21,2022-02-21,February,Monday,12
950,Denice Espinet,2013-05-05,2022-05-05,May,Thursday,12
951,Gaye Dallison,2015-05-26,2022-05-26,May,Thursday,12
952,Ivar Noddings,2013-05-05,2022-05-05,May,Thursday,12
953,Sasha Tukesby,2013-05-19,2022-05-19,May,Thursday,12
954,Korella Lavelle,2013-05-12,2022-05-12,May,Thursday,12
955,Minnaminnie Vaneev,2014-05-26,2022-05-26,May,Thursday,12
956,Sinclair Blacklock,2015-05-05,2022-05-05,May,Thursday,12
957,Jacinda Gelderd,2015-05-12,2022-05-12,May,Thursday,12
958,Red Braybrook,2012-05-12,2022-05-12,May,Thursday,12
959,Melvin Halfhyde,2012-05-12,2022-05-12,May,Thursday,12
960,Rosana Zoellner,2014-05-19,2022-05-19,May,Thursday,12
961,Bridie Hembery,2013-05-26,2022-05-26,May,Thursday,12
962,Brady Seeds,2012-08-15,2022-08-15,August,Monday,12
963,Grover Barstock,2013-08-15,2022-08-15,August,Monday,12
964,Ranna Eagland,2013-08-29,2022-08-29,August,Monday,12
965,Prudy Duetsche,2015-08-01,2022-08-01,August,Monday,12
966,Buckie Ezzle,2015-08-29,2022-08-29,August,Monday,12
967,Adlai Trippitt,2013-08-22,2022-08-22,August,Monday,12
968,Dru Lorryman,2012-08-15,2022-08-15,August,Monday,12
969,Randell Gummow,2013-08-01,2022-08-01,August,Monday,12
970,Alyda Drinkel,2012-08-22,2022-08-22,August,Monday,12
971,Melanie Glassard,2013-08-22,2022-08-22,August,Monday,12
972,Bartlett Chilvers,2015-08-22,2022-08-22,August,Monday,12
973,Carlyle Bestwick,2013-08-08,2022-08-08,August,Monday,12
974,Graehme Ditch,2015-04-07,2022-04-07,April,Thursday,11
975,Maximo Greenin,2013-04-07,2022-04-07,April,Thursday,11
976,Emmie Laba,2013-04-07,2022-04-07,April,Thursday,11
977,Babs Swaysland,2013-04-21,2022-04-21,April,Thursday,11
978,Elianora Killshaw,2014-04-07,2022-04-07,April,Thursday,11
979,Pail Weadick,2015-04-21,2022-04-21,April,Thursday,11
980,Muhammad Daysh,2015-04-14,2022-04-14,April,Thursday,11
981,Drusi Beckenham,2012-04-14,2022-04-14,April,Thursday,11
982,Rosemonde Grovier,2015-04-07,2022-04-07,April,Thursday,11
983,Leroi Heikkinen,2012-04-21,2022-04-21,April,Thursday,11
984,Seumas Plum,2013-04-28,2022-04-28,April,Thursday,11
985,Doralynne Sekulla,2015-03-14,2022-03-14,March,Monday,8
986,Garnette Chiese,2014-03-28,2022-03-28,March,Monday,8
987,Cristina Oseman,2012-03-28,2022-03-28,March,Monday,8
988,Saree Farquhar,2013-03-28,2022-03-28,March,Monday,8
989,Ronica Proppers,2015-03-07,2022-03-07,March,Monday,8
990,Vonni Mullin,2013-03-21,2022-03-21,March,Monday,8
991,Keelia McBoyle,2015-03-21,2022-03-21,March,Monday,8
992,Brig Lawty,2015-03-28,2022-03-28,March,Monday,8
993,Idell Shropshire,2015-05-02,2022-05-02,May,Monday,7
994,Dacie Hunnam,2014-05-16,2022-05-16,May,Monday,7
995,Emylee Shawel,2014-05-02,2022-05-02,May,Monday,7
996,Lonnard Stivey,2014-05-02,2022-05-02,May,Monday,7
997,Adah Townson,2013-05-02,2022-05-02,May,Monday,7
998,Jacklin Biggerstaff,2015-05-30,2022-05-30,May,Monday,7
999,Dyan Heckney,2014-05-02,2022-05-02,May,Monday,7
